title,overview,genres,rating
Easy A,"Olive, an average high school student, sees her below-the-radar existence turn around overnight once she decides to use the school's gossip grapevine to advance her social standing. Now her classmates are turning against her and the school board is becoming concerned, including her favorite teacher and the distracted guidance counselor. With the support of her hilariously idiosyncratic parents and a little help from a long-time crush, Olive attempts to take on her notorious new identity and crush the rumor mill once and for all.",Comedy,6.811
Terminator Salvation,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.","Action, Science Fiction, Thriller",6.067
Gentlemen Officers: Save the Emperor,During the Civil War in Russia a group of White Guard officers is trying to rescue the family of the tsar Nicholas II captured by Bolsheviks. The officers face betrayal and fight a Red Army detachment sent to eliminate them. It is the Red Army commander against the head of the White Guard group. The only thing that matters is who will be the first to reach the tsar placed under arrest in Yekaterinburg...,"Action, Adventure, History",5.0
Open Heart,"Malik tries to save his little sister from death and works in more than one different job to collect a lot of money for her as soon as possible, but he enters into a conflict between a businessman who knows about his circumstances and assigns him to kill another businessman, but he discovers that the businessman is the father of his lover.",Drama,0.0
Chile: A Troublesome Legacy,"The rejection of the project for a new, more socially just constitution by the Chilean people in 2022 has reignited the conflicts that have plagued the country for five decades. On September 11, 1973, in a bloody military coup, General Pinochet ended the socialist revolution launched by President Salvador Allende, legitimately elected in a democratic election. The subsequent dictatorial regime with fascist features brought great violence and terror to the Chilean people. The accompanying neo-liberal economic system, which made the country one of the richest in the region, led to an ever-widening social gap in society, which in turn fell into a kind of passivity. In 2019, long after the dictator was voted out of office and the democratization that followed, a new social movement is shaking the prevailing order. From Allende's socialism to Pinochet's fascism, this historical fresco in documentary form returns to the origins of the rupture.","Documentary, History, TV Movie",9.0
The Lower Depths,"A newcomer to a mental health unit wants to help his fellow patients. But instead of seeking healing through self-recognition, he builds castles in the air and thus becomes a great threat to his fellow sufferers and ultimately to himself.","Comedy, Drama",0.0
Wrong Shape,"Fitness thriller. Lena wants to get back to her former size, but she finds herself in an invisible mad clash in the name of a healthy lifestyle.","Comedy, Thriller",0.0
Inside the Girls,Girls are killed at a college.,"Mystery, Thriller, Horror",4.8
The Double,"Funny comedy about a life of super-famous mega-star Igor Uspensky and his fight for ""Man of a Year"" title.",Comedy,4.448
Consignment,Consignment is the authentic and brutal story of an East Coast drug dealer forced to flee to California only to realize state lines don't erase past sins.,"Action, Comedy, Crime, Drama, Romance, Thriller",1.5
Five Seconds Before Disaster,"A perfect perpetual material is created that will help humanity to reduce costs of building houses, bridges and roads.",Science Fiction,0.0
Noah,A man who suffers visions of an apocalyptic deluge takes measures to protect his family from the coming flood.,"Drama, Adventure",5.667
Mentiders,"""Mentiders"" tells the story of a family trying to survive atypical Christmas Eve.",Drama,0.0
Acid,"They have been abandoned in a world adorned with concepts such as family, friendship, love, and opportunities. In search of answers to their questions, they devour themselves like a chemical substance that corrodes the world around, in order to eventually learn not to listen but to hear, not to look but to see. And to find their way.",Drama,4.888
Fierce Town,"By the middle of the 12th century, the borders of the Mongolian Empire stretched from the Adriatic and Mediterranean Seas in the west to the southern lands of China in the east. The Mongolian army, under Khan Batu’s command, was known for its invisibility, destroying anyone who dared to challenge them. Yet, even within their central territories, some areas refused to bow to the Genghisids. Kozelsk was one of them. The Mongolian armies bypassed the high walls of this small town, considering that ""the skin of the wolf was not worth the risk of encountering its teeth"".However, one of the Khan’s commanders harbored a grudge against the town's citizens. Now, the people of Kozelsk must face a battle against the strongest army in the world, with no hope of victory. This is a story about people facing their death. Some try to escape, others are willing to do anything to survive, but most are prepared to protect their city from the relentless storms of the Mongolian hordes.","Drama, History, Action",7.267
Lost Virgin,Story of a nineteen-year-old office girl who loses her virginity.,"Romance, Drama",5.0
"Ach, Boris...","It is autumn. An area of villas in the outkirts of the city. A dilapidated villa in an overgrown garden. The three Schwarz sisters live there. They make life miserable for themselves by constantly harassing each other. They can't live together but they can't get away from each other. Their father has been dead for a long time, but his spirit is omnipresent. One day a letter arrives and the uneventful lives of the sisters are thrown into confusion.",,0.0
The Cat Returns,"Young Haru rescues a cat from being run over, but soon learns it's no ordinary feline; it happens to be the Prince of the Cats.","Adventure, Fantasy, Animation, Drama, Family",7.127
Wendy - Der Film,"Twelve-year-old Wendy is not at all happy that she has to spend her summer vacation with her parents at her grandma Herta's run-down riding stables. Wendy has been afraid of horses ever since a riding accident. But then she meets the pretty mare Dixie, who has run away from the butcher. Slowly, a deep friendship develops between the horse and the girl, and while Wendy does everything she can to save Dixie, she also manages to overcome her fear.","Family, Adventure",6.8
Bone Cage,"Jamie (Taylor Olson) works a wood processor, clear-cutting for pulp in small-town Nova Scotia. At the end of each shift, he walks through the destruction he has created looking for injured animals and rescues those he can. Adapted from a play by Nova Scotian author Catherine Banks, Bone Cage is an impressive first feature from Halifax actor/filmmaker Taylor Olson that sensitively excavates the tragedy of how young people in rural communities, employed in the destruction of their environment, treat the people they love at the end of their shift.",Drama,4.0
Tango of Love,Katya and her husband Alexey had a quiet normal life until the picture of Katya suddenly made a magazine front cover.,"Romance, Drama",0.0
Oblomov,"Based on the novel of the same name by I.A. Goncharov, staged by the Moscow Drama Theater named after A.S. Pushkin.","Drama, TV Movie",0.0
Marvel Studios Assembled: The Making of Ant-Man and the Wasp: Quantumania,"Join cast and crew as they delve deep into the creation of ""Ant-Man and The Wasp: Quantumania."" Combining immersive behind-the-scenes footage with candid interviews, Assembled reveals how an incredible new world was brought to the screen.",Documentary,6.3
Marine Life Interviews,Interviews with the animals at the Marine Life Institute about their experiences with Dory.,"Animation, Family, Comedy",6.218
Year Zero,Through a mosaic of stories intertwined and created a current picture of the sad social and economic situation in Israel. Mother forced into prostitution to support her son; Blind man must survive after losing his dog; Son is looking for his rocker father's; Apartment owner complicates his life while entering the underworld...,Drama,6.5
The End,"Director Mitya escapes from the set of the next television series. In this he is helped by the ghost of Marcello Mastroianni. The decision to escape launches a chain of events with the participation of Mitya's family and friends, which can only be unraveled by the answer to the question of what kind of director he wants to be: great, talented, or just normal.",Comedy,7.0
潇洒闯红尘,Special Musical Movie,,0.0
Música de Viento,"Mr. Quevedo is a public relationist in a real estate company managed by Mr. Cepeda. Mr. Cepeda has become rich through fraudulent practices. Mr. Martinez is a client who was victimized by Mr. Cepeda; thus he appears one day at the real estate office looking for Mr. Cepeda but instead he found Mr. Quevedo and appoints him with a gun, Mr. Quevedo farts unintentionally due to the menacing situation. Mr. Quevedo teaches the audience to bravely act according to the own values. —Elizabeth Kahl",Comedy,7.6
The Prediction,"A popular middle-aged writer is warned by a fortuneteller that he will die in exactly 24 hours. He then meets a man, who claims to be him. The writer uses this bizarre situation to change his life and take revenge.","Romance, Thriller",6.7
Wild Gavrila,"A circus arrives in a provincial town. Without any malicious intent, the local kids steal a trained bear named Gavrila from the circus to set him free...","Family, Comedy",0.0
The Great Kilapy,"Zézé Gamboa's sardonic historical drama follows a good-hearted, apolitical con man who, on the eve of Angolan independence in the mid-1970s, pulls off a massive swindle at the expense of the Portuguese colonial administration — and soon after finds himself hailed as a hero of the national liberation struggle.","Drama, Comedy",7.3
The Riot,"The film’s plot is based on a true story about a 10-year-old boy from a village, Ilya,whose father is killed. The criminal remains unpunished. Nobody around this situation is particularly worried, except the child, who arranges a real hunt for the murderer.",Drama,6.6
Mission: Kidnap the Top Star,"Having the perfect face and the perfect figure, Yun-Bin is a super star loved by the country. One day, a suspicious girl kidnaps the nation's star and demands 1 million dollars in exchange. The CEO of Yun-Bin's management company, HAN Chul-Ho, tries every means to save his actor, hiring gangs and using GPS, but fails. Meanwhile, a reporter who's been digging Yun-Bin's drug scandal is also captured by the same kidnapper. Will the two, so to speak, enemies be able to collaborate and escape from this weird girl?",,6.0
The Apocalypse,"The film is set in 90 AD and concerns Jesus Christ's last surviving disciple, John of Patmos, and his writings and visions from the Apocalypse of John. Emperor Domitian has declared himself to be God and ruler, over heaven and earth. The Christians do not recognize his divinity and face persecution, from the God Emperor. John has been imprisoned on, the island of Patmos, a Roman mining, penal colony, with many others. He writes out messages of his visions and sends the ""Revelation of God"", to the seven churches of Greek Asia Minor. The Christian church, in Ephesus, sends Irene to make sure John is alive and to confer with him in person. The movie depicts scenes from the Book of Revelation and links them to events happening to the church in Asia.",,0.0
Poisons or the World History of Poisoning,"A story of an actor named Oleg whose wife has been seduced by his neighbor. As he is thoroughly convinced of her infidelity, he would like to poison her. An old man named Prokhorov helps him to get rid of his wife by lecturing about famous deaths caused by poisoning. It is from Prokhorov we learn that many famous and not so famous like Cesare Borgia and Caligula were killed as they were poisoned.","Comedy, History",5.143
Scent of Gardenias,"Daniel is a taxi driver who’s married to Adalgisa. When she starts acting in low-budget movies, he forbids her from seeing their son, Joaquim. For more than a decade, Daniel nurtures a feeling of revenge for his ex-wife, which gains strength when their now adult son finds his mother in full professional decay.","Thriller, Mystery, Drama",5.8
Live and Remember,"Based on Valentin Rasputin's story of the same title. The winter of 1945. In a village on the Angara embankment the women wait the return of their husbands from the front. The young soldier Andrei Guskov, who fled from the hospital, returns as a deserter. In his remote winter hut only his wife Nastena visits him : she is the only person whom he can trust with his life - of an eternal fugitive doomed to loneliness. Only she loves him. She lives in the present, remembers the past and does not believe in the future. She will have a child, and to the entire village she is an unfaithful wife who did not wait for her husband to return...","Drama, War",5.1
Hamilton,"Presenting the tale of American founding father Alexander Hamilton, this filmed version of the original Broadway smash hit is the story of America then, told by America now.","History, Drama",0.0
Azazel,"Based on Boris Akunin's novel 'Azazel' (English title 'The Winter Queen') set in Moscow in 1876. The novel started a long series quite popular in Russia. In 'Azazel' a young police officer - Erast Fandorin - investigates an odd suicide of some rich young man and finds a complex conspiracy, trying to take over most European countries - from Britain to Ottoman Empire - with the best intentions, of course.","Mystery, Adventure, Action, Drama",4.706
Dreams from the Plasticine,"Where do childhood dreams lead? And is it worth it to be dependent on illusions. 8-year-old Oksana falls in love with her father's employee, 25-year-old handsome Boris. He jokingly promises to wait until the girl grows up and marry her. Boris does not keep his word, and marries his peer Vika. Oksana childishly dramatizes this. She promises herself that by all means, she will get Boris. On the advice of her grandmother, the girl molds her dream out of plasticine. After almost 10 years, she bitterly regrets her desire. To recognize the true feelings, the girl will have to survive the collapse of the family business, the loss of the closest and most loving person. Only by getting rid of the obsession of childhood, Oksana will find happiness.",Drama,0.0
War on Drug,"Anti-narcotics officer Kang Miao is on the trail of a notorious drug lord known as “Old Kite”—only to discover he is none other than his long-lost brother, Lei Ting! A 12-year-old grudge resurfaces: Lei Ting had been forced into working for the drug cartel in order to save Feng Ling. As their cat-and-mouse game intensifies, the two brothers find themselves pointing guns at each other. When justice collides with family ties, Lei Ting sacrifices himself for redemption, while Kang Miao holds firm to his beliefs, vowing to dismantle the drug network. A gripping tale of moral struggle and the clash between good and evil—on the path to eradicating drugs, every step is paved with blood and tears.","Action, Crime",0.0
The November Man,An ex-CIA operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high level CIA officials and the Russian president-elect.,"Crime, Action, Thriller",6.116
Step Up to Runway,"Alice, a young pianist, takes on a journey to search for her long-lost mother, a world-renown supermodel. She strikes up a strong friendship with her teammates, Jom, Ball, Jaidee, Pete and PeiPei to join the ‘Step Up to Runway’ fashion design contest project. She also rekindles the hot and cold relationship with Mawin, her old-time school friend against whom revenge turns into romance. But she also has to handle the anticipation of Toomtam her very best friend and Jom, the head of her team. Will Alice meet her mother? Will the team win the competition? And whom will Alice finally choose among the three of them.",Drama,0.0
The Death I Dreamed Of,"Based on real events In a school in the northern suburbs, the arrival of the mysterious and charming Chris will upset Dorothea, which will fall in love. Soon the two of them will bring the rest of the gang in a dark new world.","Drama, Horror, Romance",5.3
Tiger Robbers,"Based on Kotaro Isaka's novel""Sunshine Robber. Four robbers team up to pull off a ""fun"" heist involving a Bengal tiger.","Comedy, Adventure",4.4
Rosamunde Pilcher: Nie wieder Klassentreffen,"After 20 years, successful management consultant Sandra Cale is planning to attend a high school reunion in her home country for the first time. However, she is not planning her stay for herself alone. She proudly announces to her mother Mary that she will not be alone. Her boss Peter, with whom she is having an affair, is to join her as soon as he has separated from his wife.","Family, Drama, Romance",5.1
Requiem,A father who lost his son realizes his past mistakes and tries to talk to his son and let him rest in peace.,,0.0
Happy Campers,Chaos and rampant hormones reign when teenage counselors are left in charge during their summer-camp director's absence.,"Comedy, Romance, Drama",5.344
Bed Stories,"Seven interconnecting stories that take place in Russian bedrooms. These include a son visiting his complaining bedridden mother, a middle-aged couple bickering, one soldier bullying another in an army barracks, a rich childless housewife picking up the soldier for rough sex while her husband has a tryst with another man arranged by computer, and a wife who asks to be handcuffed to her bed while being videotaped by her lover.",Drama,6.0
Linked,"Antonio and Concha, a couple who are constantly fighting about money, win the Christmas Lottery first prize. Concha, who is very bossy, starts making decisions about how they're going to spend it. But Antonio is fed up with her, he just wants to go to Brazil, lay in the sun, and never see her again. So he starts to plan how to get rid of her...","Drama, Comedy, Thriller",5.0
A Journey To The Seaside,"Shen Tong is a dandiacal online car-hailing service driver. He receives a long journey order, from Beijing to Zhoushan, the guest is an eight-years-old boy Nannan. Shen and Nannan turn to be friends during the long trip.","Comedy, Drama",0.0
Der Ochse von Kulm,"On a pasture in Bavaria, an ox frightens members of the American occupying forces. Farmer Alois, the owner of the animal, is sentenced to thirty days in prison for this ""political"" offense. While Alois begins his sentence, the ox runs riot in the prison yard. No one can tame him, and all the farmers refuse to take the ox into their care. The helpless administration comes up with a crazy solution: Alois must split his person. As inmate Alois, he is assigned to field duty with the livestock owner Alois to supervise the ox, while as livestock owner Alois he has to supervise inmate Alois. The bill he is subsequently presented with for twice the work is enormous.",Drama,0.0
The Guidebook,"Imagine that several cameras have moved from the outskirts to the center, capturing the most interesting and informative moments of city life in different parts of the city along the way. The characters of the film are its viewers: natives of Kyiv, provincials who have come to seek their fortune, capitalist tourists — in short, those who make life in the city so vibrant. Every day we find ourselves in a variety of situations and solve a multitude of issues, from renting an apartment in the center to finding a notary in Novobelychi — urban trends, tastes, prices, priorities, routes, the labor and real estate markets, the past, present, and future.",Drama,5.5
Labyrinth,"Imagine that right now, directly beneath you, someone is lost underground and desperately calling for help. A group of four people are trying to find the legendary catacombs of old Prague, but their expedition into the labyrinth of medieval corridors turns into a fight for their lives. Which is more dangerous: an inaccurate map or an ancient secret?","Thriller, Mystery",5.2
Ten Dark Women,"A TV movie by Kon Ichikawa, remaking of Ten Dark Women (1961)",TV Movie,0.0
Sweetie,"‘Theatre is my life,’ Yıldız Kenter admits in her biography written by Dikmen Gürün. This is the story of a star, who has dedicated her whole life to her theatre company, students, the stage. Recounting the prizes received as well as the prices paid for pursuing your passion, Sweetie is a testimony to the transforming cultural landscape of the country as it tells Kenter Theatre’s story and thus how a private theatre has managed to survive. Including interviews by family members, students, fellow actors, as well as rare archival images and footage, Sweetie is an homage to the ‘North Star of Turkish theatre.’ The documentary was written by Zeynep Miraç, scored by Murat Evgin, and features Dikmen Gürün as advisor.",Documentary,6.1
Born to a Man,"An aspiring boxer Adham is thriving to become a successful professional. He falls in love with a girl, Mai, living in a slum, who suffers from her thug brother's possessive personality. Adham and his dad's lives turn torrid when Mai's brother knows of their affair.","Action, Drama",6.1
Gangs of New York,"In early 1860s New York, Irish immigrant Amsterdam Vallon is released from prison and returns to the Five Points, seeking revenge against his father's killer, William Cutting, a powerful anti-immigrant gang leader. He knows that revenge can only be attained by infiltrating Cutting's inner circle. Vallon's journey becomes a fight for personal survival and to find a place for the Irish people.","Drama, History, Crime",7.318
Victims for Victims: The Theresa Saldana Story,"Before stalking was a well-known crime in North America, there was Theresa Saldana's story. A drifter from the U.K., Arthur Jackson, flies to the U.S. to seek Saldana out. His twisted mission: Jackson planned to murder Saldana, then request the death sentence for himself so he ""could join her in paradise."" The psychopathic Jackson confronts Saldana on the street in front of her home and stabs her violently several times. No one comes to Theresa's aid except water deliveryman Jeff Fenn, who overpowers Jackson and gets the knife away from him. Jackson is arrested & charged with attempted murder...and Theresa Saldana tells her story of terror and survival as herself in this TV movie.","Drama, TV Movie",7.5
Healing Waters,"The Queen of the Waterland gives the King Juraj access to the water of life when his daughter is seriously ill. However, if the magic fluid falls into the wrong hands, it loses its power.","Romance, Adventure, Family",7.0
Oath of Dachen Island,"This film tells about the youth and passion in the reclamation of Dachen Island; singing and romance; storm and struggle. The vivid characters and touching deeds of the film convey to a feeling: the times are changing, but the spirit of pioneering will not change.",History,0.0
The Taming of the Shrews,"A few rich and glamorous people are flying to Nice, but instead of South France they land in the heart of the Sibir.","Comedy, Romance",3.0
Contempt,"A philistine in the art film business, Jeremy Prokosch is a producer unhappy with the work of his director. Prokosch has hired Fritz Lang to direct an adaptation of ""The Odyssey,"" but when it seems that the legendary filmmaker is making a picture destined to bomb at the box office, he brings in a screenwriter to energize the script. The professional intersects with the personal when a rift develops between the writer and his wife.","Drama, Romance",7.1
Gholamreza Takhti,"The story of life of Gholam Reza Takhti from his childhood till adulthood, his matches and finally his death.",Drama,6.917
The Republic of ShKID,"The film is based on the eponymous book, written by two former street gangsters - Grigori Belykh and Leonid Panteleyev. Film is set in the 1920s St. Petersburg, Russia. Streets of the city are full of the homeless boys. They are caught to be raised and educated at the correction school named after Dostoevsky. The boys are street smart and difficult. But the faculty stands up to the challenge. The teaches are being devoted and caring, and gradually win the respect of the most difficult kids. The school director Vicknixor is a refined intellectual, who becomes a role model for the boys.","Family, Comedy, Drama",6.6
Deadly Inferno - Tödliches Inferno,"A group of employees are stuck on the eighth floor of an office building, and it is up to firefighter Ray to find a way to bring them to safety. Unsure of their fate, and with too much to lose, these men must fight to keep each other alive as they hunt for a way out from this deadly inferno.","Action, Drama",6.4
Pia Pia Pia,"The film tells the story of character actor Liu Guang, who is caught in a mid-life crisis, facing a broken marriage and the harsh reality of drinking away his sorrows. One day he woke up and became a special agent with super powers. Unexpectedly, his wife Duan Meijuan also hid her identity as a special agent.","Drama, Comedy",2.0
Stars to Wish Upon,"Victoria is a republican widow who enters in the prison of Saturrarán (Vizcaya), place where an experiment of the Franco regime takes part: the separation of children from their mothers to give them up for adoption to families close to the regime, in order to break the chains of communism.","War, Drama",4.0
Godspell: A Musical Based on the Gospel According to St. Matthew,"In modern-day New York City, John the Baptist calls out to a group of young men and women to learn from the teachings of Jesus. Through song and dance, they relive Christ's crucifixion.","Comedy, Family, Music",6.716
About Nikita Tulskiy,Based on Russian tales.,"Family, Fantasy, TV Movie",0.0
Die Beute,"The private detective Nelly (Martina Gedeck) has a moored and industrial property. The moor has been cultivated for a year, but the politics are still there. The children of the industry blame her wife Gerda (Donata Höffer), who made the most of her profit. Zij zou a secret minnaar hebben.",Crime,0.0
The Love Mad Baroness,"A sexologist gets involved with the lovely and love crazy young baroness of Gluecksburg. Originally hindered by an occupational accident, he recovers completely after a blood transfusion. Hilarious and sexy!","Adventure, Comedy",1.0
Dinosaur,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,"Animation, Family, Adventure",6.547
"Chengdu, I Love You","A satirical comedy set during the 1976 earthquake of Tangshan, which then zips forward to 2009 offering a Matrix-like science fiction story of contemporary China.",Romance,10.0
Exploring the Brandenburg Marche,"On a forest road in the Brandenburg March, village teacher Potsch accidentally encounters the distinguished Professor Menzel, who got stuck there in his car. In the conversation that ensues, Menzel and Pötsch quickly discover that they both are great admirers of the early 19th-century writer Max von Schwedenow who was born in the area.",Drama,0.0
Déjà Vu,"Called in to recover evidence in the aftermath of a horrific explosion on a New Orleans ferry, Federal agent Doug Carlin gets pulled away from the scene and taken to a top-secret government lab that uses a time-shifting surveillance device to help prevent crime.","Action, Thriller, Science Fiction",6.87
Nan wang de zhan dou,"In 1949, as the country celebrates liberation, KMT agents are ploting.","Drama, War",0.0
Fracture,"A husband is on trial for the attempted murder of his wife, in what is seemingly an open/shut case for the ambitious district attorney trying to put him away. However, there are surprises for both around every corner, and, as a suspenseful game of cat-and-mouse is played out, each must manipulate and outwit the other.",Thriller,7.264
Criminal Talent,A tragicomic story about a long going duel between experienced detective and young and pretty girl in the start of her grafter career.,"Crime, Drama, Comedy",6.0
The Coma,"When Sherif returns from abroad, he befriends a group of unemployed junkies, including a girl whose father lives in Kuwait and sends her a lot of money, a young man who went mad because of drugs, and the son of a a major general who is separated from his wife.",Drama,0.0
Whoopi Goldberg: The Winning Act,"Whoopi Goldberg is an award-winning comedian actress and human rights advocate. She has achieved amazing success in the entertainment industry. From the streets of New York to the stage of Broadway and the Hollywood Walk of Fame, this is her story.",Documentary,8.5
The Gathering,"""The Gathering"" tells the story of Xiao Mei who has a crush on one of her schoolmates, Fang Tai. However, her mother disapproves of the puppy love between the two. After her mother`s death, Xiao Mei starts attending the yearly gathering with her old schoolmates in hope of meeting Fang Tai once again.",Drama,0.0
Team Albert,"Albert is a rebel who refuses to accept that you can't do what you want and be successful in life without being constrained by a society that has laid out a straight path for your career since you were in kindergarten. That's why Albert rebels against school, his parents, and the whole world to become what he's best at: entertaining the whole world through YouTube. But along the way, Albert is losing his best friends and, worst of all, the one who loves him most, the girl he thinks he's not in love with.",Family,8.8
Teenosaurus Rex,"She was sweet, she was cute. But just before her 14th birthday, Daddy’s little princess mutates into a petulant pubescent nightmare. Journalist Hannes Wenger decides to take a time-out from work to guide his daughter Carla through this difficult phase in her life and, above all, to keep her away from alcohol, boys and other temptations. This is easier said than done, however, and when his wife Sara goes back to work, Hannes proves himself entirely inept at raising a teenager. Whether it’s Carla’s birthday party, her mobile phone contract or her first time, Hannes makes one awkward blunder after another. The fact that other teens have embarrassing fathers provides only faint consolation; Hannes’ best friend is a war reporter named Holger who prefers to be shot at in war zones rather than stay at home and be driven crazy by his own teenage nightmare.",Comedy,5.378
The Truth of Lieutenant Klimov,"Naval officer Klimov returns from a deployment only to discover that his wife has been unfaithful—with Lieutenant Zvyagin. Shocked and disoriented, Klimov strikes his rival in public, during duty hours and on military grounds—a serious breach for which he pays the price. Refusing to explain the cause of the altercation, Klimov is demoted and transferred to the Northern Fleet. There, he must work to restore his reputation as a composed and confident commander…",Drama,2.8
My Tempo,"Two gifted music students navigate the complexities of youth, friendship and fame while fighting to win a career-defining music contest.","Romance, Music, Drama",0.0
The Untouchables,"Elliot Ness, an ambitious prohibition agent, is determined to take down Al Capone. In order to achieve this goal, he forms a group given the nickname “The Untouchables”.","Crime, History, Thriller",7.758
One Second,"The story follows a young man who gets to know a girl and causes her many problems. But when he's exposed to an accident, his life takes a drastic turn.","Comedy, Romance, Drama, History",5.5
Cracked,A movie producer tries to find a double for a diva with drug problems.,"Drama, Thriller",6.3
Der Pastor mit der Jazztrompete,"When the Lutheran pastor Roland retires, the young priest Roll shall replace him. He plays the trumpet, loves Jazz and his methods are unconventional: From the first day on he offends the village's notables, but he doesn't care so much since he especially targets the youths, wants them to get back to the church again. However the mayor agitates against him, manages to endanger Roll's success. The conflict leads to vandalism and open violence against Roll.","Music, Drama",4.5
They Are Waiting For Me On The Ground,"Stanitsyn, a test pilot who dreamed of space, was ""rejected"" by the medical commission. But the courageous dreamer in love with the sky found himself at a lower altitude - in transport aviation.",Drama,0.0
Deadly Exchange,"Samantha and daughter Blake invite Chloe, a foreign exchange student from Britain, into their California home. The two girls become close friends but Samantha's uneasiness begins with the suspicious death of Blake's boyfriend. Samantha sets out to prove her daughter's innocence, discovering Chloe's ultimate plan is to ""adopt"" Samantha as her ""mum"".","Drama, Crime, TV Movie",5.8
Ghost,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.","Fantasy, Drama, Thriller, Mystery, Romance",7.228
The Red Room,"A man and two women are trying their luck in the red room in the countryside. The older (but therefore not wiser) Fred, freshly divorced as a kisser who still desires his ex, meets the self-confident Lucy, who feels called to explore the soul of men in her novels. She lives with her intimate friend Sibil in a Vorpommern house in the countryside. Fred decides to move from Berlin to the two women and try a ménage-à-trois. They get to know each other and themselves.","Drama, Romance",6.1
Hypersleep,"The old and overcrowded penitentiaries are just a memory. Inmates now serve their sentence in a state of deep sleep that renders them harmless, and has drastically reduced recidivism. Until one day, a psychologist in charge of monitoring the mental state of inmates finds himself confronted with a prisoner over whom he's lost all control.","Science Fiction, Thriller",6.0
The Age of the Stateless,"Sira, a former refugee, works as a translator for OFPRA (the French Office for the Protection of Stateless Persons and Migrants). She unscrupulously fleeces her clients, selling them fictions she creates to convince the authorities.","Drama, TV Movie",6.5
The Night Before Christmas,"Based on the work of Nikolay Gogol. Handsome blacksmith Vakula who fell in love with village beauty, Oksana, is ready to do anything for her liking. Even to fly on the devil's back to Saint-Petersburg and ask the Empress for the slippers that he can present his sweetheart.","Animation, Fantasy",6.5
One Day in Europe,One day in Europe shows stories set in four European countries. All of them involve thievery in some way or the other. The protagonists are strangers in the respective country. For none of them their stay turns out as planned.,Comedy,6.1
Last Step,"Stepan Astashonok, a graduate of the orphanage, came to the factory and seemed to have found his business. He soon got married, but he lived few happy days. When the war began, the Germans stole his wife and children to Germany. Having reached Berlin, the hero did not lose hope of finding them. Stepan learned about the death of his daughter, son and wife in the last days of the war. But the soldier continued to fight and tried to be human.…","War, Drama",0.0
Window to the Sea,"Faced with life changing news, María, a fifty-five-year-old Spanish woman from Bilbao, chooses to take a trip to Greece with her closest girlfriends against the advice of her son and doctors. A spontaneous decision leads her to the island of Nisyros, a tiny haven of peace and calm that immediately feels like home. While exploring the beautiful island and soaking in its hidden treasures, she meets Stefanos and finds herself falling in love against all odds.",Drama,6.4
Adult Children Games,"Pavel has passionately fallen in love with 18-year-old Katya, a daughter of the horse stable owner, where he works as a vet. He constantly comes up with different ways to attract Katya's attention. However, his plans are shuttered by Alexei, whom Katya has found seriously wounded and in need of medical aid at the road side. Alexei's coming disrupts the usual course of life of the farm's inhabitants. Katya, a strange and extraordinary girl, falls in love with Alexei, who is seeking to escape from this queer place. Meanwhile, Katya's mother, Irina, is torn between her daughter and her love for Pavel. Passion, jealousy and hatred become intertwined in this love square.",Drama,0.0
Waterworld,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland'—which is tattooed on Enola's back.","Adventure, Action, Science Fiction",6.228
The House Bunny,"Shelley is living a carefree life until a rival gets her tossed out of the Playboy Mansion. With nowhere to go, fate delivers her to the sorority girls from Zeta Alpha Zeta. Unless they can sign a new pledge class, the seven socially clueless women will lose their house to the scheming girls of Phi Iota Mu. In order to accomplish their goal, they need Shelley to teach them the ways of makeup and men; at the same time, Shelley needs some of what the Zetas have - a sense of individuality. The combination leads all the girls to learn how to stop pretending and start being themselves.","Romance, Comedy",5.7
Zombillénium,"Zombillenium, the Halloween theme park, happens to be the one place on earth where real monsters can hide in plain sight. When Hector, a human, threatens to disclose the true identity of his employees, the Vampire Park Manager has no other choice but to hire him. To see his daughter, Hector must escape from his zombie and werewolf co-workers.","Comedy, Animation, Fantasy",7.0
Grace Under Pressure,A burglar breaks into the apartment of Grace Jones and artist Jean-Paul Goude. He is interrupted by Debbie Harry and Andy Warhol.,Comedy,0.0
Demolition Man,"In 1996, brash L.A. detective John Spartan and maniac killer Simon Phoenix are both sentenced to decades in a cryogenic prison as punishment for a rescue mission gone wrong. When Phoenix escapes 36 years later to wreak havoc on the future, Spartan is awakened to capture his nemesis the old-fashioned way.","Crime, Action, Science Fiction",6.74
The Little Rascals,"When nine-year-old Alfalfa falls for Darla, his ""He-Man-Woman-Hating"" friends attempt to sabotage their relationship.","Romance, Comedy, Family",6.786
